bead_index,peak_z,peak_y,peak_x,centroid_z_um,centroid_y_um,centroid_x_um,fwhm_z_um,fwhm_y_um,fwhm_x_um,fwhm_pca1_um,fwhm_pca2_um,fwhm_pca3_um,pca_axis1,pca_axis2,pca_axis3,tilt_angle_y_deg,tilt_angle_x_deg,skew_pc1,kurt_pc1,snr,vol_ratio_05_01,pc1_z_angle_deg,astig_um
0,637,1451,1275,8.389173967335488,1.9692070236577384,2.0756092885778648,4.2,2.9000000000000004,0.4,0.8542713567839195,0.6030150753768844,0.40201005025125625,"[-0.9764824339663335, -0.118675915889671, -0.17999467531827792]","[0.06651573285311942, -0.9599712899884192, 0.27208597847184773]","[-0.20507977335221791, 0.25371470076784663, 0.9452889173031094]",0.3659262177833966,1.8367541983545486,0.039643623993521754,-0.5677972082790301,80.09304136659655,0.08763144717075613,12.450552934325238,0.20100502512562812
1,648,1459,1275,8.25557599199328,1.9043529884684345,2.073266568702878,4.6000000000000005,2.2,0.4,1.3065326633165828,0.6030150753768844,0.40201005025125625,"[-0.9732241247548479, -0.16844713546889778, -0.1563980995648066]","[0.12284470002636884, -0.9562540742943932, 0.26549449160162397]","[-0.19427810651381136, 0.23917296659049092, 0.951342372325396]",0.47226657356756574,1.6345405774761037,-0.05529944675137041,-0.5812170811874386,108.43804583111157,0.09738452977184196,13.288724929540408,0.20100502512562812
2,682,1365,1482,8.184942650290342,2.082575384213468,2.0089287361059127,3.6,3.0,0.30000000000000004,4.57286432160804,0.5025125628140703,0.3517587939698492,"[-0.8100760658666588, -0.5854530659750408, -0.031960523312691766]","[-0.5850308311984479, 0.8107060159475885, -0.022241453496584768]","[-0.03893191566374921, -0.0006806223714918083, 0.9992416337883135]",0.9452572415542295,0.025364559016613268,0.1206216212292792,-0.718998796637369,950.2164511280722,0.09437386569872959,35.89663607724015,0.1507537688442211
3,592,1370,253,8.241664287499496,2.1178664105484493,2.0204451940760104,3.7,2.7,0.30000000000000004,2.8140703517587937,0.5527638190954773,0.3517587939698492,"[-0.831638916659927, -0.5547113726325221, -0.025923066347289952]","[-0.5340802127203397, 0.8117493746704496, -0.2362652727396292]","[-0.15210206664375012, 0.1826423986764233, 0.9713427384442749]",0.8353987726806226,0.07234094941356971,0.1666057721600583,-0.7890045716144138,756.7517983810527,0.08198797087685977,33.73253571236089,0.20100502512562812
4,458,1351,1435,8.264334899778111,2.135770011445318,2.002200532794609,3.6,2.6,0.4,2.8643216080402008,0.6030150753768844,0.3517587939698492,"[-0.8462605001059429, -0.5319317835584452, -0.029862076297056322]","[-0.5326814221180262, 0.8458089026345242, 0.02928826991304124]","[-0.009678248331016468, -0.040692479213161076, 0.9991248438732416]",0.891254765093647,0.03478904230989136,0.18587869817058852,-0.779896073942342,760.6041018950534,0.08683068017366136,32.192759407577654,0.25125628140703515
5,793,1391,1119,5.138669064322611,1.7901639237722187,2.00135524040588,3.2,2.4000000000000004,0.5,6.130653266331658,8.241206030150753,0.7537688442211055,"[-0.8068756068661351, -0.5905331056162155, -0.014913289901087841]","[0.2708440609680956, -0.39226816081573807, 0.8790729120206975]","[-0.5249716655998842, 0.7052633133670758, 0.4764539947736585]",-2.316407137219408,0.07702127587327777,0.32231425407932635,-0.7886420990733565,41.30114923335424,0.06492614221916868,36.20821661519137,7.487437185929648
6,662,1468,1275,8.102892321825658,1.8572481664636022,2.0796683368366535,5.0,1.4000000000000001,0.4,1.809045226130653,0.6030150753768844,0.5527638190954773,"[-0.966305024094048, -0.21811223631033244, -0.13668084277727818]","[-0.17680709931833713, 0.9483535181710538, -0.26337208318882227]","[-0.18706643216044153, 0.23033162384763817, 0.9549625610538213]",0.6655055180665247,1.449208652929751,-0.11476453404887255,-0.7098876422857554,149.7153370936266,0.093711467324291,14.915824713669187,0.05025125628140703
7,700,1378,1483,8.018958185688417,1.996232831934811,1.9925518254654013,4.6000000000000005,3.1,0.4,4.773869346733668,0.5527638190954773,0.4522613065326633,"[-0.8178278102341227, -0.5747589640025575, -0.028457092373719666]","[-0.5147781211373961, 0.7085862265355123, 0.4826065121425687]","[0.2572181152366841, -0.40933811557546135, 0.8753748616057111]",1.2139720688992652,0.021573731864700692,0.0008775884293502022,-0.7555017647575872,924.5324272368064,0.07994955863808323,35.132063332129135,0.10050251256281406
8,502,1345,607,8.207112654950974,2.1137125010387967,2.001160954363234,3.5,2.8000000000000003,0.4,1.809045226130653,0.5527638190954773,0.3517587939698492,"[-0.8151207429381166, -0.5788409823150316, -0.02283181167982129]","[-0.5391936743643546, 0.772518665972742, -0.33538797272585946]","[-0.21177430428991978, 0.26107092506877344, 0.9418033850683781]",0.6538755748377316,0.029171579677592745,0.1606887864171542,-0.7512224982892151,587.964888094221,0.06504854368932039,35.40069757431066,0.20100502512562812
9,678,1420,1292,7.230074025251979,2.1353419250571757,1.8149463120602176,10.600000000000001,1.9000000000000001,0.4,0.7537688442211055,0.7537688442211055,0.6030150753768844,"[-0.9762240844988617, 0.045161140676326594, -0.21200709473310597]","[0.09411766020107978, 0.9693618915291575, -0.22689069899246359]","[0.1952649555927361, -0.24144977660753286, -0.9505648859986043]",-0.7579045284659813,2.65253557461974,-0.08504551574954822,-0.9898492627692073,26.56574042981145,0.07098420800765673,12.519025070658298,0.1507537688442211
